Institute,Program,Quota,Category,Gender,Opening_Rank,Closing_Rank
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS (PwD),Gender-Neutral,184,184
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,6079,8953
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL (PwD),Gender-Neutral,480,599
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Gender-Neutral,2935,5865
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC (PwD),Gender-Neutral,79,79
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Gender-Neutral,663,2664
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,11073,18008
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Gender-Neutral,489,544
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,2491,2881
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS (PwD),Gender-Neutral,159,159
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,5198,6941
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL (PwD),Gender-Neutral,413,459
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Gender-Neutral,2172,4563
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC (PwD),Gender-Neutral,123,123
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Gender-Neutral,1149,1928
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,19371,30526
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Female-only (including Supernumerary),27754,31770
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Gender-Neutral,1398,1418
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,4439,4834
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Female-only (including Supernumerary),5437,6088
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,8930,10991
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Female-only (including Supernumerary),11381,13445
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL (PwD),Gender-Neutral,778,778
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Gender-Neutral,5207,6992
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Female-only (including Supernumerary),6784,6858
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Gender-Neutral,3039,3346
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Female-only (including Supernumerary),3100,3100
Indian Institute of Information Technology Bhopal,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,6720,20448
Indian Institute of Information Technology Bhopal,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Gender-Neutral,766,766
Indian Institute of Information Technology Bhopal,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,2888,3253
Indian Institute of Information Technology Bhopal,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS (PwD),Gender-Neutral,160,160
